Икономически дейности (код по НКИД )	Наименование на икономическа дейност	Ръко-водни служи-тели	Анали-тични специа-листи	Приложни специа-листи	Помощен персонал	Персонал зает с услуги за насел., охрана и търговия	Производители в селското, горското и рибното стоп., ловци и риболовци	Квалифи-цирани производ-ствени работници	Оператори на съоръже-ния, машини и трансп. средства	Ниско-квалифи-цирани работници
1713	Подготовка на камгарна вълна за предене и производство на камгарни вълнени и тип вълнени прежди	260	210	190	170	150	150	170	170	150
1714	Подготовка на лен за предене и производство на ленени и тип ленени прежди	260	210	190	170	150	150	170	170	150
1715	Източване на естествена коприна и подготовка на синтетични и изкуствени щапелни влакна за предене	260	210	190	170	150	150	170	170	150
1716	Производство на шевни конци 	260	210	190	170	150	150	170	170	150
1717	Подготовка на други видове естествени влакна за предене (вкл. коноп) и производство на прежди от тях	260	210	190	170	150	150	170	170	150
172	Производство на тъкани	260	210	190	170	150	150	170	170	150
1721	Производство на памучни и тип памучни тъкани	260	210	190	170	150	150	170	170	150
1722	Производство на щрайхгарни вълнени и тип вълнени тъкани	260	210	190	170	150	150	170	170	150
1723	Производство на камгарни вълнени и тип вълнени тъкани	260	210	190	170	150	150	170	170	150
1724	Производство на копринени и тип копринени тъкани	260	210	190	170	150	150	170	170	150
1725	Производство на други тъкани	260	210	190	170	150	150	170	170	150
173	Облагородяване на прежди, тъкани и облекло	260	210	190	170	150	150	170	170	150
1730	Облагородяване на прежди, тъкани и облекло	260	210	190	170	150	150	170	170	150
174	Производство на конфекционирани текстилни изделия, без облекло	260	210	190	170	150	150	170	170	150
1740	Производство на конфекционирани текстилни изделия, без облекло	260	210	190	170	150	150	170	170	150
175	Производство на други текстилни изделия	260	210	190	170	150	150	170	170	150
1751	Производство на килими и текстилни подови настилки	260	210	190	170	150	150	170	170	150
1752	Производство на канапи, въжета, мрежи и изделия от тях	260	210	190	170	150	150	170	170	150
1753	Производство на нетъкани текстилни изделия	260	210	190	170	150	150	170	170	150
1754	Производство на други текстилни изделия, некласифицирани другаде	260	210	190	170	150	150	170	170	150
176	Производство на плетени платове	260	210	190	170	150	150	170	170	150
1760	Производство на плетени платове	260	210	190	170	150	150	170	170	150
177	Производство на трикотажни изделия	270	200	170	150	155	0	160	160	150
1771	Производство на чорапи и чорапогащи	270	200	170	150	155	0	160	160	150
1772	Производство на класически (машинно или ръчно плетени) пуловери, жилетки и други подобни изделия	270	200	170	150	155	0	160	160	150
181	Производство на облекло от обработени меки кожи	280	200	170	150	150	150	150	150	150
1810	Производство на облекло от обработени меки кожи	280	200	170	150	150	150	150	150	150
182	Производство на друго облекло и допълнения за облекло	280	200	170	150	150	150	150	150	150
1821	Производство на работно облекло	280	200	170	150	150	150	150	150	150
1822	Производство на горно облекло, без работно	280	200	170	150	150	150	150	150	150
1823	Производство на ризи, блузи и друго долно облекло	280	200	170	150	150	150	150	150	150
1824	Производство на друго облекло и допълнения за облекло, некласифицирани другаде	280	200	170	150	150	150	150	150	150
183	Обработка на кожухарски кожи и производство на изделия от тях	280	200	170	150	150	150	150	150	150
1830	Обработка на кожухарски кожи и производство на изделия от тях	280	200	170	150	150	150	150	150	150
191	Производство на обработени кожи без косъм	270	200	190	150	150	0	150	150	150
1910	Производство на обработени кожи без косъм	270	200	190	150	150	0	150	150	150
192	Производство на куфари, чанти и други изделия за пътуване, сарашки и седларски изделия	270	200	190	150	150	0	150	150	150
1920	Производство на куфари, чанти и други изделия за пътуване, сарашки и седларски изделия	270	200	190	150	150	0	150	150	150
193	Производство на обувки	270	200	190	150	150	0	150	150	150
1930	Производство на обувки	270	200	190	150	150	0	150	150	150
201	Разкрояване, рендосване и импрегниране на дървен материал	230	200	180	150	150	0	160	165	150
2010	Разкроявяне, рендосване и импрегниране на дървен материал	230	200	180	150	150	0	160	165	150
202	Производство на фурнир и дървесни плочи	230	200	180	150	150	0	160	165	150
2020	Производство на фурнир и дървесни плочи	230	200	180	150	150	0	160	165	150
203	Производство на дограма, конструкции и детайли от дървен материал за строителството	230	200	180	150	150	0	160	165	150
2030	Производство на дограма, конструкции и детайли от дървен материал за строителството	230	200	180	150	150	0	160	165	150
204	Производство на амбалаж от дървен материал	230	200	180	150	150	0	160	165	150
2040	Производство на амбалаж от дървен материал	230	200	180	150	150	0	160	165	150
205	"Производство на други изделия от дървен материал; производство на изделия от корк, слама и материали за плетене"	230	200	180	150	150	0	160	165	150
2051	Производство на други изделия от дървен материал	230	200	180	150	150	0	160	165	150
2052	Производство на изделия от корк, слама и материали за плетене	230	200	180	150	150	0	160	165	150
211	Производство на дървесна маса, хартия и картон	230	200	180	150	150	0	155	155	150
2111	Производство на дървесна маса	230	200	180	150	150	0	155	155	150
2112	Производство на хартия и картон	230	200	180	150	150	0	155	155	150
212	Производство на изделия от хартия и картон	230	200	180	150	150	0	155	155	150
2121	Производство на вълнообразен картон и опаковки от хартия и картон	230	200	180	150	150	0	155	155	150
2122	Производство на домакински, санитарно-хигиенни и тоалетни изделия от хартия и картон	230	200	180	150	150	0	155	155	150
2123	Производство на канцеларски изделия от хартия и картон	230	200	180	150	150	0	155	155	150
2124	Производство на тапети и подобни стенни облицовки	230	200	180	150	150	0	155	155	150
2125	Производство на други изделия от хартия и картон	230	200	180	150	150	0	155	155	150
221	Издателска дейност	200	180	170	150	150	150	160	150	150
2211	Издаване на книги и други непериодични издания	200	180	170	150	150	150	160	150	150
2212	Издаване на вестници	200	180	170	150	150	150	160	150	150
2213	Издаване на списания и други периодични издания	200	180	170	150	150	150	160	150	150
2214	Издаване на звукозаписи	200	180	170	150	150	150	160	150	150
2215	Друга издателска дейност	200	180	170	150	150	150	160	150	150
222	Полиграфическа и други дейности, свързани с печатането	200	180	170	150	150	150	160	150	150
2221	Печатане на вестници	200	180	170	150	150	150	160	150	150
2222	Печатане на други издания и печатни продукти	200	180	170	150	150	150	160	150	150
2223	Подвързване на печатни издания	200	180	170	150	150	150	160	150	150
2224	Предпечатна подготовка	200	180	170	150	150	150	160	150	150
2225	Спомагателни дейности, свързани с печатането	200	180	170	150	150	150	160	150	150
223	Възпроизвеждане на записани носители	200	180	170	150	150	150	160	150	150
2231	Възпроизвеждане на звукозаписи	200	180	170	150	150	150	160	150	150
2232	Възпроизвеждане на видеозаписи	200	180	170	150	150	150	160	150	150
2233	Възпроизвеждане на компютърни записи	200	180	170	150	150	150	160	150	150
231	Производство на кокс и продукти на коксуването	700	520	410	300	350	0	370	380	220
2310	Производство на кокс и продукти на коксуването	700	520	410	300	350	0	370	380	220
232	Производство на рафинирани нефтопродукти	700	520	410	300	350	0	370	380	220
2320	Производство на рафинирани нефтопродукти	700	520	410	300	350	0	370	380	220
233	Производство и преработка на ядрено гориво	700	520	410	300	350	0	370	380	220
2330	Производство и преработка на ядрено гориво	700	520	410	300	350	0	370	380	220
241	Производство на основни химични вещества	370	290	210	160	150	150	200	190	150
2411	Производство на промишлени газове	370	290	210	160	150	150	200	190	150
2412	Производство на багрила и пигменти	370	290	210	160	150	150	200	190	150
2413	Производство на други основни неорганични химични вещества	370	290	210	160	150	150	200	190	150
2414	Производство на други основни органични химични вещества	370	290	210	160	150	150	200	190	150
2415	Производство на азотни съединения и торове	370	290	210	160	150	150	200	190	150
2416	Производство на полимери в първични форми	370	290	210	160	150	150	200	190	150
2417	Производство на синтетичен каучук в първични форми	370	290	210	160	150	150	200	190	150
242	Производство на пестициди и други агрохимикали	370	290	210	160	150	150	200	190	150
2420	Производство на пестициди и други агрохимикали	370	290	210	160	150	150	200	190	150
243	Производство на бои, лакове и подобни продукти, печатарско мастило и китове	370	290	210	160	150	150	200	190	150
2430	Производство на бои, лакове и подобни продукти, печатарско мастило и китове	370	290	210	160	150	150	200	190	150
244	Производство на лекарствени вещества и продукти	370	290	210	160	150	150	200	190	150
2441	Производство на лекарствени вещества	370	290	210	160	150	150	200	190	150
2442	Производство на лекарствени продукти	370	290	210	160	150	150	200	190	150
245	Производство на сапун, миещи, почистващи и полиращи препарати, парфюми и тоалетни продукти	370	290	210	160	150	150	200	190	150
2451	Производство на сапун, миещи, почистващи и полиращи препарати	370	290	210	160	150	150	200	190	150
2452	Производство на парфюми и тоалетни продукти	370	290	210	160	150	150	200	190	150
246	Производство на други химични продукти	370	290	210	160	150	150	200	190	150
2461	Производство на експлозиви	370	290	210	160	150	150	200	190	150
2462	Производство на лепила и желатини	370	290	210	160	150	150	200	190	150
2463	Производство на етерични масла	370	290	210	160	150	150	200	190	150
2464	Производство на фотографски химични материали	370	290	210	160	150	150	200	190	150
2465	Производство на готови незаписани носители	370	290	210	160	150	150	200	190	150
2466	Производство на други химични продукти, некласифицирани другаде	370	290	210	160	150	150	200	190	150
247	Производство на изкуствени и синтетични влакна	370	290	210	160	150	150	200	190	150
2470	Производство на изкуствени и синтетични влакна	370	290	210	160	150	150	200	190	150
251	Производство на изделия от каучук	260	180	170	160	150	150	170	160	150
2511	Производство на гуми, външни и вътрешни	260	180	170	160	150	150	170	160	150
2512	Регенериране на пневматични гуми	260	180	170	160	150	150	170	160	150
2513	Производство на други изделия от каучук	260	180	170	160	150	150	170	160	150
252	Производство на изделия от пластмаси	260	180	170	160	150	150	170	160	150
2521	Производство на листове, плочи, тръби и профили от пластмаси	260	180	170	160	150	150	170	160	150
2522	Производство на опаковки от пластмаси	260	180	170	160	150	150	170	160	150
2523	Производство на изделия от пластмаси за строителството	260	180	170	160	150	150	170	160	150
2524	Производство на други изделия от пластмаси	260	180	170	160	150	150	170	160	150
261	Производство на стъкло и изделия от стъкло	270	200	180	160	150	0	180	180	150
2611	Производство на необработено плоско стъкло	270	200	180	160	150	0	180	180	150
2612	Формоване и обработка на плоско стъкло	270	200	180	160	150	0	180	180	150
2613	Производство на амбалаж и домакински изделия от стъкло	270	200	180	160	150	0	180	180	150
2614	Производство на стъклени влакна	270	200	180	160	150	0	180	180	150
2615	Производство и обработка на други изделия от стъкло, вкл. за техническа употреба	270	200	180	160	150	0	180	180	150
262	Производство на керамични изделия, без неогнеупорните за строителството	270	200	180	160	150	0	180	180	150
2621	Производство на домакински и декоративни изделия от порцелан и други керамични материали	270	200	180	160	150	0	180	180	150
2622	Производство на санитарна керамика	270	200	180	160	150	0	180	180	150
2623	Производство на керамични изолатори	270	200	180	160	150	0	180	180	150
2624	Производство на други керамични изделия за техническа употреба	270	200	180	160	150	0	180	180	150
2625	Производство на други керамични изделия	270	200	180	160	150	0	180	180	150
2626	Производство на огнеупорни керамични изделия	270	200	180	160	150	0	180	180	150
263	Производство на керамични плочки	270	200	180	160	150	0	180	180	150
2630	Производство на керамични плочки	270	200	180	160	150	0	180	180	150
264	Производство на тухли, керемиди и други строителни изделия от печена глина	270	200	180	160	150	0	180	180	150
2640	Производство на тухли, керемиди и други строителни изделия от печена глина	270	200	180	160	150	0	180	180	150
265	Производство на цимент, вар и гипс	270	200	180	160	150	0	180	180	150
2651	Производство на цимент	270	200	180	160	150	0	180	180	150
2652	Производство на вар	270	200	180	160	150	0	180	180	150
2653	Производство на гипс	270	200	180	160	150	0	180	180	150
266	Производство на изделия от бетон, гипс и цимент	270	200	180	160	150	0	180	180	150
2661	Производство на изделия от бетон за строителството	270	200	180	160	150	0	180	180	150
2662	Производство на изделия от гипс за строителството	270	200	180	160	150	0	180	180	150
2663	Производство на готови бетонови смеси	270	200	180	160	150	0	180	180	150
2664	Производство на хоросан	270	200	180	160	150	0	180	180	150
2665	Производство на влакнесто-циментови изделия	270	200	180	160	150	0	180	180	150
2666	Производство на други изделия от бетон, гипс и цимент	270	200	180	160	150	0	180	180	150
267	Рязане, профилиране и обработване на строителни и декоративни скални материали	270	200	180	160	150	0	180	180	150
2670	Рязане, профилиране и обработване на строителни и декоративни скални материали	270	200	180	160	150	0	180	180	150
268	Производство на продукти от други неметални минерали	270	200	180	160	150	0	180	180	150
2681	Производство на абразивни продукти	270	200	180	160	150	0	180	180	150
2682	Производство на продукти от други неметални минерали, некласифицирани другаде	270	200	180	160	150	0	180	180	150
271	Производство на чугун, стомана и феросплави	410	260	250	170	150	170	220	240	150
2710	Производство на чугун, стомана и феросплави	410	260	250	170	150	170	220	240	150
272	Производство на тръби	410	260	250	170	150	170	220	240	150
2721	Производство на чугунени тръби	410	260	250	170	150	170	220	240	150
2722	Производство на стоманени тръби	410	260	250	170	150	170	220	240	150
273	Друга първична обработка на стомана	410	260	250	170	150	170	220	240	150
2731	Студено изтегляне на стомана	410	260	250	170	150	170	220	240	150
2732	Студено валцуванe на тесни ленти от стомана	410	260	250	170	150	170	220	240	150
2733	Студено формоване или фалцоване на стомана	410	260	250	170	150	170	220	240	150
2734	Изтегляне на тел	410	260	250	170	150	170	220	240	150
274	Производство на благородни и цветни метали	410	260	250	170	150	170	220	240	150
2741	Производство на благородни метали	410	260	250	170	150	170	220	240	150
2742	Производство на алуминий и алуминиеви сплави	410	260	250	170	150	170	220	240	150
2743	Производство на олово, цинк, калай и техните сплави	410	260	250	170	150	170	220	240	150
2744	Производство на мед и медни сплави	410	260	250	170	150	170	220	240	150
2745	Производство на други цветни метали и техните сплави	410	260	250	170	150	170	220	240	150
275	Леене на метали	385	235	235	150	150	150	195	215	150
2751	Леене на чугун	385	235	235	150	150	150	195	215	150
2752	Леене на стомана	385	235	235	150	150	150	195	215	150
2753	Леене на леки метали	385	235	235	150	150	150	195	215	150
2754	Леене на други цветни и благородни метали	385	235	235	150	150	150	195	215	150
281	Производство на метални изделия за строителството	290	175	175	150	150	150	160	160	150
2811	Производство на метални конструкции и части от тях	290	175	175	150	150	150	160	160	150
2812	Производство на метална дограма за строителството	290	175	175	150	150	150	160	160	150
282	"Производство на цистерни, резервоари и контейнери от метал; производство на котли за отопление и радиатори с неелектрическо загряване"	290	175	175	150	150	150	160	160	150
2821	Производство на цистерни, резервоари и контейнери от метал	290	175	175	150	150	150	160	160	150
2822	Производство на котли за отопление и радиатори с неелектрическо загряване	290	175	175	150	150	150	160	160	150
283	Производство на парни котли, без котли за отопление	290	175	175	150	150	150	160	160	150
2830	Производство на парни котли, без котли за отопление	290	175	175	150	150	150	160	160	150
284	"Коване, пресоване, щамповане и валцуване на метал; прахова металургия"	290	175	175	150	150	150	160	160	150
2840	"Коване, пресоване, щамповане и валцуване на метал; прахова металургия"	290	175	175	150	150	150	160	160	150
285	Друго металообработване	290	175	175	150	150	150	160	160	150
2851	Повърхностно обработване и нанасяне на покритие върху метал	290	175	175	150	150	150	160	160	150
2852	Механично обработване на метал	290	175	175	150	150	150	160	160	150
286	Производство на кухненски прибори, инструменти и железария	290	175	175	150	150	150	160	160	150
2861	Производство на кухненски прибори и ножарски изделия	290	175	175	150	150	150	160	160	150
2862	Производство на сечива за ръчна употреба и инструменти	290	175	175	150	150	150	160	160	150
2863	Производство на строителен и мебелен обков	290	175	175	150	150	150	160	160	150
287	Производство на други метални изделия	290	175	175	150	150	150	160	160	150
2871	Производство на варели и подобни съдове от стомана	290	175	175	150	150	150	160	160	150
2872	Производство на леки опаковки от метал	290	175	175	150	150	150	160	160	150
2873	Производство на изделия от тел	290	175	175	150	150	150	160	160	150
2874	Производство на скрепителни елементи, вериги и пружини	290	175	175	150	150	150	160	160	150
2875	Производство на други метални изделия, некласифицирани другаде	290	175	175	150	150	150	160	160	150
291	Производство на машини за произвеждане и използване на механична енергия	320	210	180	150	150	150	180	190	150
2911	Производство на турбини и двигатели, без авиационни, автомобилни и мотоциклетни	350	250	230	160	150	150	200	200	160
2912	Производство на помпи и компресори	320	210	180	150	150	150	180	190	150
2913	Производство на арматурни изделия	320	210	180	150	150	150	180	190	150
2914	Производство на лагери, предавки и съединители	320	210	180	150	150	150	180	190	150
292	Производство на машини с общо предназначение	320	210	180	150	150	150	180	190	150
2921	Производство на пещи и горелки	320	210	180	150	150	150	180	190	150
2922	Производство на подемно-транспортни машини, вкл. асансьори	320	210	180	150	150	150	180	190	150
2923	Производство на промишлено хладилно и вентилационно оборудване	320	210	180	150	150	150	180	190	150
2924	Производство на други машини с общо предназначение	320	210	180	150	150	150	180	190	150
293	Производство на машини за селското и горското стопанство	320	210	180	150	150	150	180	190	150
2931	Производство на трактори за селското и горското стопанство	320	210	180	150	150	150	180	190	150
2932	Производство на други машини за селското и горското стопанство	320	210	180	150	150	150	180	190	150
294	Производство на обработващи машини	320	210	180	150	150	150	180	190	150
2941	Производство на преносими ръчни инструменти с вграден двигател	320	210	180	150	150	150	180	190	150
2942	Производство на машини за обработка на метал	320	210	180	150	150	150	180	190	150
2943	Производство на други обработващи машини	320	210	180	150	150	150	180	190	150
295	Производство на други машини със специално предназначение	320	210	180	150	150	150	180	190	150
2951	Производство на машини и оборудване за металургията и леярството	320	210	180	150	150	150	180	190	150
2952	Производство на машини за добив и строителство	320	210	180	150	150	150	180	190	150
2953	Производство на машини и оборудване за преработка на храни, напитки и тютюн	320	210	180	150	150	150	180	190	150
2954	Производство на машини за текстил, облекло, кожи и кожени изделия	320	210	180	150	150	150	180	190	150
2955	Производство на машини за дървесна маса, хартия, картон и изделия от хартия и картон	320	210	180	150	150	150	180	190	150
2956	Производство на други машини със специално предназначение, некласифицирани другаде	320	210	180	150	150	150	180	190	150
296	Производство на въоръжение и боеприпаси	320	210	180	150	150	150	180	190	150
2960	Производство на въоръжение и боеприпаси	320	210	180	150	150	150	180	190	150
297	Производство на домакински уреди	320	210	180	150	150	150	180	190	150
2971	Производство на електрически домакински уреди	320	210	180	150	150	150	180	190	150
2972	Производство на неелектрически домакински уреди	320	210	180	150	150	150	180	190	150
300	Производство на канцеларска и електронноизчислителна техника	330	220	200	150	150	0	180	160	150
3001	Производство на канцеларска техника	330	220	200	150	150	0	180	160	150
3002	Производство на електронноизчислителна техника	330	220	200	150	150	0	180	160	150
311	Производство на електродвигатели, електрически генератори и трансформатори	330	220	200	150	150	0	180	160	150
3110	Производство на електродвигатели, електрически генератори и трансформатори	330	220	200	150	150	0	180	160	150
312	Производство на електроразпределителни и контролни апарати	330	220	200	150	150	0	180	160	150
3120	Производство на електроразпределителни и контролни апарати	330	220	200	150	150	0	180	160	150
313	Производство на изолирани проводници и кабели	330	220	200	150	150	0	180	160	150
3130	Производство на изолирани проводници и кабели	330	220	200	150	150	0	180	160	150
314	Производство на електрически акумулатори, батерии и първични елементи	330	220	200	150	150	0	180	160	150
3140	Производство на електрически акумулатори, батерии и първични елементи	330	220	200	150	150	0	180	160	150
315	Производство на осветители и лампи	330	220	200	150	150	0	180	160	150
3150	Производство на осветители и лампи	330	220	200	150	150	0	180	160	150
316	Производство на електрически съоръжения, некласифицирани другаде	330	220	200	150	150	0	180	160	150
3161	Производство на електрически съоръжения за двигатели и за превозни средства, нeкласифицирани другаде	330	220	200	150	150	0	180	160	150
3162	Производство на други електрически съоръжения, нeкласифицирани другаде	330	220	200	150	150	0	180	160	150
321	Производство на електронни лампи, тръби и други електронни елементи	330	220	200	150	150	0	180	160	150
3210	Производство на електронни лампи, тръби и други електронни елементи	330	220	200	150	150	0	180	160	150
322	Производство на излъчваща телевизионна и радиотехника и проводникова далекосъобщителна техника	330	220	200	150	150	0	180	160	150
3220	Производство на излъчваща телевизионна и радиотехника и проводникова далекосъобщителна техника	330	220	200	150	150	0	180	160	150
323	Производство на телевизионни и радиоприемници, апарати за записване или възпроизвеждане на звук и образ	330	220	200	150	150	0	180	160	150
3230	Производство на телевизионни и радиоприемници, апарати за записване или възпроизвеждане на звук и образ	330	220	200	150	150	0	180	160	150
331	Производство на медицинско и хирургическо оборудване и ортопедични апарати	330	220	200	150	150	0	180	160	150
3310	Производство на медицинско и хирургическо оборудване и ортопедични апарати	330	220	200	150	150	0	180	160	150
