Икономически дейности (код по НКИД )	Наименование на икономическа дейност	Ръко-водни служи-тели	Анали-тични специа-листи	Приложни специа-листи	Помощен персонал	Персонал зает с услуги за насел., охрана и търговия	Производители в селското, горското и рибното стоп., ловци и риболовци	Квалифи-цирани производ-ствени работници	Оператори на съоръже-ния, машини и трансп. средства	Ниско-квалифи-цирани работници
011	Растениевъдство	240	175	165	150	150	150	165	165	150
0111	Отглеждане на зърнени, клубеноплодни, технически и фуражни култури	240	175	165	150	150	150	165	165	150
0112	Отглеждане на зеленчуци, дини и пъпеши и други специфични продукти	240	175	165	150	150	150	165	165	150
0113	Отглеждане на лозови, овощни и други трайни насаждения	240	175	165	150	150	150	165	165	150
012	Животновъдство	240	175	165	150	150	150	165	165	150
0121	Отглеждане на едър рогат добитък	240	175	165	150	150	150	165	165	150
0122	Отглеждане на дребен рогат добитък, коне, магарета, мулета и катъри	240	175	165	150	150	150	165	165	150
0123	Отглеждане на свине	240	175	165	150	150	150	165	165	150
0124	Отглеждане на домашни птици	240	175	165	150	150	150	165	165	150
0125	Отглеждане на други животни	240	175	165	150	150	150	165	165	150
013	Комбинирано растениевъдно-животновъдно стопанство	240	175	165	150	150	150	165	165	150
0130	Комбинирано растениевъдно-животновъдно стопанство	240	175	165	150	150	150	165	165	150
014	"Селскостопански услуги, без лечебната ветеринарна дейност; озеленяване"	240	175	165	150	150	150	165	165	150
0141	"Растениевъдни услуги; озеленяване"	240	175	165	150	150	150	165	165	150
0142	Животновъдни услуги, без лечебната ветеринарна дейност	240	175	165	150	150	150	165	165	150
015	Лов и развъждане на дивеч и свързани с тях услуги	240	175	165	150	150	150	165	165	150
0150	Лов и развъждане на дивеч и свързани с тях услуги	240	175	165	150	150	150	165	165	150
020	Горско стопанство, дърводобив и свързани с тях услуги	210	150	150	150	150	150	150	150	150
0201	Горско стопанство и дърводобив	210	150	150	150	150	150	150	150	150
0202	Услуги, свързани с горското стопанство и дърводобива	210	150	150	150	150	150	150	150	150
050	Рибно стопанство и свързани с него услуги	210	150	150	150	150	150	150	150	150
0501	Риболов	210	150	150	150	150	150	150	150	150
0502	Рибовъдство	210	150	150	150	150	150	150	150	150
101	Добив и брикетиране на антрацитни и черни въглища	360	290	280	200	170	0	280	240	190
1010	Добив и брикетиране на антрацитни и черни въглища	360	290	280	200	170	0	280	240	190
102	Добив и брикетиране на кафяви и лигнитни въглища	360	290	280	200	170	0	280	240	190
1020	Добив и брикетиране на кафяви и лигнитни въглища	360	290	280	200	170	0	280	240	190
103	Добив и брикетиране на торф	360	290	280	200	170	0	280	240	190
1030	Добив и брикетиране на торф	360	290	280	200	170	0	280	240	190
111	Добив на суров нефт и природен газ	360	290	280	200	170	0	280	240	190
1110	Добив на суров нефт и природен газ	360	290	280	200	170	0	280	240	190
112	Услуги, свързани с добива на нефт и газ, без проучвателните работи	360	290	280	200	170	0	280	240	190
1120	Услуги, свързани с добива на нефт и газ, без проучвателните работи	360	290	280	200	170	0	280	240	190
120	Добив на уранови и ториеви руди и техните концентрати	360	290	280	200	170	0	280	240	190
1200	Добив на уранови и ториеви руди и техните концентрати	360	290	280	200	170	0	280	240	190
131	Добив на железни руди и техните концентрати	360	300	270	170	170	0	250	230	170
1310	Добив на железни руди и техните концентрати	360	300	270	170	170	0	250	230	170
132	Добив на руди на цветни метали и техните концентрати	360	300	270	170	170	0	250	230	170
1320	Добив на руди на цветни метали и техните концентрати	360	300	270	170	170	0	250	230	170
141	Добив на скални материали	300	230	210	170	170	0	250	230	170
1411	Добив на строителни и декоративни скални материали	300	230	210	170	170	0	250	230	170
1412	Добив на варовик, суров гипс, креда и доломит	300	230	210	170	170	0	250	230	170
1413	Добив на шисти	300	230	210	170	170	0	250	230	170
142	Добив на трошен камък, чакъл, пясък и глина	300	230	210	170	170	0	250	230	170
1421	Добив на трошен камък, чакъл и пясък	300	230	210	170	170	0	250	230	170
1422	Добив на глина и каолин	400	300	250	190	190	0	250	250	180
143	Добив на минерални суровини за химическото производство и на естествени торове	300	230	210	170	170	0	250	230	170
1430	Добив на минерални суровини за химическото производство и на естествени торове	300	230	210	170	170	0	250	230	170
144	Производство на сол	300	230	210	170	170	0	250	230	170
1440	Производство на сол	300	230	210	170	170	0	250	230	170
145	Добив на други неметални материали и суровини, некласифицирани другаде	300	230	210	170	170	0	250	230	170
1450	Добив на други неметални материали и суровини, некласифицирани другаде	300	230	210	170	170	0	250	230	170
151	Производство, преработка и консервиране на месо и месни продукти	360	270	220	170	160	155	180	180	155
1511	Производство на месо, без месо от домашни птици	360	270	220	170	160	155	180	180	155
1512	Производство на месо от домашни птици и от животни, некласифицирани другаде	360	270	220	170	160	155	180	180	155
1513	Производство на месни продукти	360	270	220	170	160	155	180	180	155
152	Преработка и консервиране на риба и други водни животни	380	280	230	170	160	160	180	190	160
1520	Преработка и консервиране на риба и други водни животни	380	280	230	170	160	160	180	190	160
153	Преработка и консервиране на плодове и зеленчуци	350	275	220	160	153	0	160	185	153
1531	Преработка и консервиране на картофи	350	275	220	160	153	0	160	185	153
1532	Производство на плодови и зеленчукови сокове	350	275	220	160	153	0	160	185	153
1533	Преработка и консервиране на плодове и зеленчуци, некласифицирани другаде	350	275	220	160	153	0	160	185	153
154	Производство на растителни и животински масла и мазнини	410	350	300	185	160	160	180	250	160
1541	Производство на сурови масла и мазнини	410	350	300	185	160	160	180	250	160
1542	Производство на рафинирани масла и мазнини	410	350	300	185	160	160	180	250	160
1543	Производство на маргарин и други подобни хранителни мазнини	410	350	300	185	160	160	180	250	160
155	Производство на мляко и млечни продукти	400	310	250	175	155	0	170	190	153
1551	Производство на мляко и млечни продукти, без сладолед	400	310	250	175	155	0	170	190	153
1552	Производство на сладолед	400	310	250	175	155	0	170	190	153
156	Производство на мелничарски продукти, нишесте и нишестени продукти	420	300	280	180	180	0	195	205	155
1561	Производство на мелничарски продукти	420	300	280	180	180	0	195	205	155
1562	Производство на нишесте и нишестени продукти	420	300	280	180	180	0	195	205	155
157	Производство на готови храни за животни	400	290	280	185	150	155	195	220	155
1571	Производство на готови храни за селскостопански животни (фуражи)	400	290	280	185	150	155	195	220	155
1572	Производство на готови храни за домашни галени животни	400	290	280	185	150	155	195	220	155
158	Производство на хляб, хлебни изделия и други хранителни продукти	390	305	280	170	160	0	170	210	155
1581	Производство на хляб, хлебни изделия и пресни сладкарски изделия	390	305	280	170	160	0	170	210	155
1582	Производство на сухари, бисквити и сухи сладкарски изделия	390	305	280	170	160	0	170	210	155
1583	Производство на захар	410	310	300	200	155	155	200	230	155
1584	Производство на какао, шоколадови и захарни изделия	410	310	300	200	155	155	200	230	155
1585	Производство на макарони, юфка, кус-кус и подобни тестени изделия	390	305	280	170	160	0	170	210	155
1586	Преработка на кафе и чай	390	305	280	170	160	0	170	210	155
1587	Производство на хранителни подправки и сосове	390	305	280	170	160	0	170	210	155
1588	Производство на хомогенизирани готови храни, вкл. детски и диетични	390	305	280	170	160	0	170	210	155
1589	Производство на други хранителни продукти, некласифицирани другаде	390	305	280	170	160	0	170	210	155
159	Производство на напитки	360	280	240	150	150	150	150	190	150
1591	Производство на спиртни напитки	360	280	240	150	150	150	150	190	150
1592	Производство на етилов алкохол от ферментирали продукти	360	280	240	150	150	150	150	190	150
1593	Производство на вина от грозде	360	280	240	150	150	150	150	190	150
1594	Производство на други ферментирали напитки, без тези от грозде	360	280	240	150	150	150	150	190	150
1595	Производство на други недестилирани алкохолни напитки	360	280	240	150	150	150	150	190	150
1596	Производство на пиво	360	290	255	160	165	0	170	210	160
1597	Производство на малц	360	290	255	160	165	0	170	210	160
1598	Производство на минерални води и безалкохолни напитки	390	320	280	180	160	0	180	200	155
160	Производство на тютюневи изделия	410	400	280	220	180	150	190	220	150
1600	Производство на тютюневи изделия	410	400	280	220	180	150	190	220	150
171	Подготовка и предене на текстилни влакна и прежди	260	210	190	170	150	150	170	170	150
1711	Подготовка на памук за предене и производство на памучни и тип памучни прежди	260	210	190	170	150	150	170	170	150
1712	Подготовка на щрайхгарна вълна за предене и производство на щрайхгарни вълнени и тип вълнени прежди	260	210	190	170	150	150	170	170	150
