"Id"	"name_prof"	"cod"
"55"	"Аналитик, икономика"	"2441"
"56"	"Аналитик, компютърни бази данни"	"2131"
"57"	"Аналитик, компютърни мрежи (комуникации)"	"2131"
"58"	"Аналитик, компютърни системи"	"2131"
"59"	"Аналитик, металургични процеси"	"2147"
"60"	"Аналитик, проучване на пазари"	"2414"
"61"	"Аналитик, софтуер / база данни"	"2132"
"62"	"Аналитик, тарифи, такси"	"2418"
"63"	"Аналитик, финанси и счетоводство"	"2411"
"65"	"Анестезиолог, лекар"	"2221"
"66"	"Аниматор"	"3132"
"67"	"Анкетьор"	"4122"
"68"	"Антено-мачтови монтажник"	"7216"
"69"	"Апаратчик"	"8292"
"70"	"Апаратчик, абсорбер / химически процеси"	"8154"
"71"	"Апаратчик, адсорбер / химически процеси"	"8154"
"72"	"Апаратчик, бъркачка / химични процеси"	"8151"
"73"	"Апаратчик, дестилатор / химически процеси"	"8154"
"74"	"Апаратчик, дефибратори / дървообработване"	"8143"
"75"	"Апаратчик, изпарител / химични процеси"	"8152"
"78"	"Апаратчик, климатични съоръжения"	"8164"
"79"	"Апаратчик, кондензатор / химични процеси"	"8152"
"80"	"Апаратчик, кристализатор / химически процеси"	"8154"
"83"	"Апаратчик, обезводняваща машина / дървообработване"	"8143"
"84"	"Апаратчик, отопление"	"8164"
"85"	"Апаратчик, охлаждане"	"8164"
"86"	"Апаратчик, преса / дървообработване"	"8143"
"87"	"Апаратчик, пречиствателни съоръжения"	"8165"
"88"	"Апаратчик, реактор / химически процеси"	"8154"
"89"	"Апаратчик, редки метали / металургия"	"8122"
"90"	"Апаратчик, сушилна / химични процеси"	"8152"
"91"	"Апаратчик, сушилна инсталация / дървообработване"	"8142"
"92"	"Апаратчик, топлообменник / химични процеси"	"8152"
"93"	"Апаратчик, филтри / химични процеси"	"8153"
"94"	"Апретурист / текстилно производство"	"8267"
"95"	"Аптекар / дрогерия"	"3228"
"96"	"Аптекар, фармацевт / аптека"	"2224"
"97"	"Аранжьор / изложби и панаири"	"3471"
"98"	"Аранжьор / търговски обекти"	"3471"
"99"	"Аранжьор, вътрешно обзавеждане"	"3471"
"100"	"Арбитър, спортен"	"3477"
"101"	"Арматурист / строителство"	"7124"
"102"	"Арматурист, леярски форми и съоръжения"	"7212"
"104"	"Армировчик / строителство"	"7124"
"105"	"Артист, балетист"	"2456"
"106"	"Артист, драматичен"	"2457"
"107"	"Артист, концертиращ"	"2455"
"108"	"Артист, оркестрант"	"3476"
"109"	"Артист, ученик в цирк"	"3476"
"110"	"Артистичен секретар"	"3431"
"111"	"Археолог"	"2442"
"112"	"Архивар"	"4142"
"113"	"Архивист"	"2431"
"114"	"Архиепископ"	"1145"
"115"	"Архитект"	"2141"
"116"	"Архитект, декори"	"2149"
"117"	"Архитект, плавателни съдове"	"2145"
"118"	"Архитект-дизайнер"	"2141"
"119"	"Асансьоропридружител, пътници"	"9151"
"120"	"Асансьоропридружител, товаро-разтоварач"	"9333"
"121"	"Асистент / висше училище"	"2312"
"122"	"Асистент-оператор"	"3132"
"123"	"Асистент-оператор на фокуса"	"3132"
"124"	"Асистент-режисьор"	"3473"
"125"	"Асистент-стоматолог"	"3231"
"126"	"Аспираторчик / хранително-вкусова промишленост"	"7416"
"127"	"Астролог"	"5146"
"128"	"Астроном"	"2111"
"129"	"Астроном, приложен специалист"	"3111"
"130"	"Астрофизик"	"2111"
"134"	"Аукционер"	"3415"
"135"	"Афиньор / металургия"	"8122"
"136"	"Бавачка, домашна"	"5134"
"137"	"Багерист"	"8334"
"139"	"Бактериолог"	"2211"
"140"	"Бактериолог, ветеринарен"	"2211"
"141"	"Бактериолог, контрол на хранителни продукти"	"2211"
"142"	"Бактериолог, медицински"	"2211"
"143"	"Бактериолог, почви"	"2211"
"144"	"Бактериолог, производствен"	"2211"
"145"	"Бактериолог, фармацевтичен"	"2211"
"146"	"Бакърджия"	"7214"
"147"	"Балансьор на ротори"	"8282"
"148"	"Балансьор-коректор, абразиви"	"8136"
"149"	"Балетен педагог"	"2456"
"150"	"Балетен режисьор"	"2456"
"151"	"Балетен репетитор"	"2456"
"152"	"Балетист"	"2456"
"153"	"Балетмайстор"	"2456"
"154"	"Балировач-опаковчик"	"9323"
"155"	"Балоотваряч / производство"	"9321"
"156"	"Бальор-опаковчик"	"9323"
"157"	"Бандажьор на бобини, секции и ротори на машини"	"8282"
"158"	"Банков експерт"	"2411"
"159"	"Банцигар / дървообработване"	"8141"
"160"	"Барман"	"5124"
"161"	"Баруелист / производство на каучукови изделия"	"8231"
"162"	"Басейнчик / солодобив"	"7113"
"163"	"Белач, дървени трупи"	"6143"
"164"	"Белач-зареждач на роли / полиграфия"	"9321"
"165"	"Бемберист / производство на каучукови изделия"	"8231"
"166"	"Берач / растениевъдство"	"9211"
"167"	"Бетонджия / строителство"	"7125"
"168"	"Библиограф"	"2433"
"169"	"Библиотекар"	"2433"
"170"	"Библиотекар / училище"	"3479"
"171"	"Библиотекар / читалище"	"3479"
"172"	"Библиотекар-регистратор"	"3479"
"173"	"Биволовъд"	"6121"
"174"	"Бижутер"	"7312"
"175"	"Бижутер, плетач на синджири"	"7312"
"176"	"Билетопродавач"	"4214"
"177"	"Билкоберач"	"6142"
"178"	"Билкопроизводител"	"6113"
"179"	"Биограф"	"2451"
"180"	"Биолечител"	"3259"
"181"	"Биолог"	"2211"
"182"	"Биолог, молекулярен"	"2211"
"183"	"Биолог, морски"	"2211"
"184"	"Биолог, научен работник"	"2211"
"185"	"Биолог, питейна вода"	"2211"
"186"	"Биолог, приложен специалист"	"3211"
"187"	"Биометрик"	"2122"
"188"	"Биотехнолог"	"2148"
"189"	"Биофизик"	"2211"
"190"	"Биохимик"	"2211"
"191"	"Бисмутчик / металургия"	"8121"
"192"	"Бласьор / производство на пластмасови изделия"	"8232"
"193"	"Бобиньор / производство на електрически машини"	"8282"
"194"	"Бодигард"	"5163"
"195"	"Болногледач / здравно заведение"	"5132"
"196"	"Болногледач, домашен"	"5134"
"197"	"Бомбаджия"	"7117"
"198"	"Бонтировчик / хранително-вкусова промишленост"	"7417"
"199"	"Боргвергист / металообработване"	"8211"
"200"	"Борден съпроводител / въздушен транспорт"	"5111"
"201"	"Борсов агент"	"3411"
"202"	"Борсов посредник"	"3411"
"203"	"Ботаник"	"2211"
"204"	"Ботаник, еколог"	"2211"
"205"	"Ботаник, микролог"	"2211"
"206"	"Ботаник, почва"	"2211"
"207"	"Ботаник, приложен специалист"	"3211"
"208"	"Ботаник, таксономист"	"2211"
"209"	"Ботаник, хистолог"	"2211"
"210"	"Бояджия / строителство"	"7141"
"211"	"Бояджия / текстилно производство"	"8267"
"213"	"Бояджия, антенно-мачтови съоръжения"	"7142"
"214"	"Бояджия, метални изделия"	"7142"
"215"	"Бояджия, метални конструкции / строителство"	"7142"
"216"	"Бояджия, метални части"	"7142"
"217"	"Бояджия, с нитроцелуозни лакове"	"7142"
"218"	"Бояджия, с оловни бои, органични разтворители"	"7142"
"219"	"Бояджия, транспортни средства"	"7142"
"220"	"Брегар / добив на пясък"	"9312"
"221"	"Бродировач"	"7444"
"222"	"Брокер, застраховки"	"3412"
"223"	"Брокер, стоки"	"3421"
"224"	"Брокер, стокова борса"	"3421"
"225"	"Брокер, фондова борса"	"3411"
"226"	"Брокер, ценни книжа"	"3411"
"227"	"Бронзировач / полиграфия"	"7349"
"228"	"Брояч"	"9324"
"229"	"Бръснар"	"5141"
"230"	"Бубар"	"6124"
"231"	"Букволеяр / полиграфия"	"7343"
"232"	"Булдозерист"	"8334"
"233"	"Бункерист"	"9311"
"234"	"Бункерист / химични процеси"	"9321"
"235"	"Бърдар, ремонти / текстилно производство"	"9321"
"236"	"Бърдар, текстилни машини"	"7225"
"237"	"Бъчвар"	"7427"
"238"	"Бюфетчик"	"5124"
"239"	"Вагоноописвач / жп транспорт"	"4135"
"240"	"Ваксаджия / битови услуги на улицата"	"9121"
"242"	"Вакуумимпрегнатор"	"8224"
"243"	"Вакуумист / хранително-вкусова промишленост"	"8271"
"244"	"Валутен касиер"	"4218"
"245"	"Валцар / хранително-вкусова промишленост"	"8273"
"246"	"Валцолеяр / полиграфия"	"7343"
"247"	"Валцьор, смеси за лепило"	"8225"
"248"	"Валцьор-оператор / металургия"	"8123"
"250"	"Варач / хранително-вкусова промишленост"	"8271"
"251"	"Варач, сапуни / производство на миещи продукти"	"8222"
"252"	"Варогасач / добив на строителни материали"	"9312"
"254"	"Ватман / градски транспорт"	"8313"
"255"	"Вдевач / текстилно производство"	"8264"
"256"	"Велосипедист"	"9331"
"257"	"Ветеринарен лекар"	"2223"
"258"	"Ветеринарен лекар (доктор)"	"2223"
"259"	"Ветеринарен лекар, хирург"	"2223"
"260"	"Ветеринарен фелдшер"	"3227"
"261"	"Вещопазач"	"9153"
"262"	"Взривач / добив"	"7117"
"263"	"Взривач на метални блокове / металургия"	"7211"
"264"	"Видео-инженер"	"2144"
"265"	"Видеомонтажист"	"3132"
"266"	"Викарий"	"1145"
"267"	"Вирусолог"	"2211"
"268"	"Вицепрезидент / синдикат"	"1142"
"269"	"Вицепрезидент на Републиката"	"1111"
"270"	"Влагоизмерител"	"3156"
"271"	"Владика"	"1145"
"272"	"Водач, автобус"	"8322"
"273"	"Водач, верижен трактор / строителство"	"8332"
"274"	"Водач, дрезина / жп транспорт"	"8311"
"275"	"Водач, електрокар"	"8325"
"276"	"Водач, колесен трактор / селско стопанство"	"8332"
"277"	"Водач, лек автомобил"	"8323"
"278"	"Водач, лек автомобил такси"	"8323"
"279"	"Водач, лекотоварен автомобил до 1,5 тона"	"8323"
"280"	"Водач, ловен туризъм"	"5115"
"281"	"Водач, машина за утъпкване на сняг"	"8336"
"282"	"Водач, микробус"	"8323"
"283"	"Водач, мотокар"	"8325"
"284"	"Водач, мотоциклет"	"8324"
"285"	"Водач, превозно средство с педално задвижване"	"9331"
"286"	"Водач, пробивно-шнекови машини"	"8336"
"288"	"Водач, ръчна количка (количкар)"	"9331"
"289"	"Водач, самосвал"	"8321"
"290"	"Водач, самоходни машини / дърводобив"	"8333"
"291"	"Водач, самоходни машини / селско стопанство"	"8331"
"292"	"Водач, самоходни моторни фрези"	"8336"
"293"	"Водач, селскостопанска машина"	"8331"
"294"	"Водач, специализирани автомобили"	"8321"
"295"	"Водач, специализирани машини в растениевъдството"	"8331"
"296"	"Водач, товарен автомобил над 1,5 тона"	"8321"
"297"	"Водач, транспортиращи средства с животинска сила"	"9332"
"298"	"Водач, триколка"	"9331"
"299"	"Водач, тролейбус"	"8322"
"300"	"Водач, тръбоизолационни почистващи машини"	"8336"
"301"	"Водач, тръбополагащи машини"	"8336"
"302"	"Водещ предаване / радио и телевизия"	"3474"
"303"	"Водолаз"	"7218"
"304"	"Водолечител / здравно заведение"	"5132"
"305"	"Водопроводчик"	"7134"
"306"	"Водопроводчик-мазутчик, металургична пещ"	"7211"
"307"	"Водоразпределител,  поливач / растениевъдството"	"9212"
"308"	"Войник / Българска армия (отбрана)"	"2"
"309"	"Вокален педагог"	"2455"
"310"	"Вокалист, концертиращ"	"2455"
"311"	"Връзвач на телщанги и пружини, тапицер"	"7445"
"312"	"Втори механик / плавателен съд"	"3142"
"313"	"Вулканизатор / производство на каучукови изделия"	"8231"
"314"	"Вулканизатор на тапицерски плоскости, тапицер"	"7445"
"315"	"Вулканолог, геофизик"	"2114"
"316"	"Въглищар, дървени въглища"	"6143"
"317"	"Въглищар-сгураджия / енергетика"	"9321"
"318"	"Въжар"	"8265"
"327"	"Възпитател - учител с полувисше образование"	"3314"
"330"	"Възпитател с полувисше образование / болница"	"3322"
"332"	"Възпитател със средно педагогическо образование"	"3322"
"334"	"Възстановител-металик"	"7224"
"335"	"Вътрешен коректор / полиграфия"	"7349"
"336"	"Гадател"	"5146"
"337"	"Газгенераторчик / коксово производство"	"8156"
"338"	"Газголдерчик / коксово производство"	"8156"
"339"	"Газировчик / производство на безалкохолни напитки"	"8277"
"340"	"Газовчик  / металургия"	"8121"
"341"	"Газозаварчик"	"7213"
"342"	"Газорезчик"	"7213"
"343"	"Газоспасител / добив на полезни изкопаеми"	"7112"
"344"	"Галванопластик / полиграфия"	"7342"
"345"	"Галванотехник по хромови, оловни и цинкови вани"	"8224"
"346"	"Галванотехник, химическа обработка на повърхности"	"8224"
"347"	"Галировач / текстилно производство"	"7434"
"348"	"Галтовчик / леярство"	"7212"
"349"	"Гардеробиер, лични вещи на временно съхранение"	"9153"
"350"	"Гардеробиер, спортна екипировка"	"9153"
"351"	"Гардеробиер, сценичен"	"5145"
"352"	"Гаров оператор / жп транспорт"	"8312"
"353"	"Гатерист / дървообработване"	"8141"
"354"	"Генерален директор / БНТ, БНР"	"1157"
"355"	"Генерален директор / дружество по Търговския Закон"	"1211"
"356"	"Генерален консул / държавна администрация (МВнР)"	"1122"
"357"	"Генерален секретар / Червен кръст"	"1143"
"359"	"Генерален секретар / политическа партия"	"1141"
"360"	"Генерален секретар / синдикат"	"1142"
"361"	"Генераторчик / коксово производство"	"8156"
"362"	"Генетик"	"2211"
"363"	"Генетик, животни"	"2211"
"364"	"Генетик, растения"	"2211"
"365"	"Географ"	"2442"
"366"	"Геодезист, инженер"	"2142"
"367"	"Геолог"	"2114"
"368"	"Геолог, инженер / ГМО"	"2146"
"369"	"Геолог, микропалеонтолог"	"2114"
"370"	"Геолог, минен инженер"	"2146"
"371"	"Геолог, научен работник"	"2114"
"372"	"Геолог, палеонтолог"	"2114"
"373"	"Геолог, петрография и вулканология"	"2114"
"374"	"Геолог, стратиграф"	"2114"
"376"	"Геолог-техник, приложен специалист"	"3111"
"377"	"Геомагнетист, геофизик"	"2114"
"378"	"Геоморфолог"	"2114"
"379"	"Геофизик"	"2114"
"380"	"Геофизик, ледолог (гласиолог)"	"2114"
"381"	"Геофизик, научен работник"	"2114"
"382"	"Геофизик, океанограф"	"2114"
"383"	"Геофизик, приложна геофизика"	"2114"
"384"	"Геофизик, хидролог"	"2114"
"385"	"Геофизичен оператор / геоложки проучвания"	"7115"
"386"	"Гид, планински водач"	"5115"
"387"	"Гилюшор / полиграфия"	"7342"
"388"	"Гипсаджия / строителство"	"7139"
"389"	"Главен агроном"	"1221"
"390"	"Главен актюер"	"2472"
"391"	"Главен архитект / общинска администрация"	"1132"
"392"	"Главен архитект / проектантска организация"	"1227"
"393"	"Главен асистент / висше училище"	"2312"
"396"	"Главен валутен касиер"	"2411"
"397"	"Главен ветеринарен лекар"	"1221"
"398"	"Главен готвач"	"5123"
"399"	"Главен дежурен, електрическа централа"	"1222"
"400"	"Главен дилър"	"2411"
"401"	"Главен директор / държавна администрация"	"1122"
"403"	"Главен експерт / Инспекция летателна експлоатация"	"3147"
"404"	"Главен експерт / държавна администрация"	"2472"
"405"	"Главен експерт / областна администрация"	"2473"
"406"	"Главен експерт / общинска администрация"	"2474"
"407"	"Главен експерт, информационно осигуряване"	"2132"
"408"	"Главен енергетик"	"1222"
"409"	"Главен зоотехник"	"1221"
"410"	"Главен икономист"	"1233"
"411"	"Главен инженер"	"1222"
"412"	"Главен инженер / общинска администрация"	"1132"
"413"	"Главен инспектор / държавна администрация"	"2472"
"414"	"Главен инспектор по труда"	"2475"
"415"	"Главен камериер / хотел"	"5121"
"416"	"Главен касиер"	"2411"
"417"	"Главен касиер / БНБ"	"1122"
"418"	"Главен касиер, телефоно-телеграфен"	"4121"
"420"	"Главен конструктор (десенатор)"	"1237"
"421"	"Главен координатор / БНТ, БНР"	"1157"
"423"	"Главен лекар / частна болница"	"1229"
"424"	"Главен лесничей"	"1221"
"425"	"Главен механик / плавателен съд"	"3142"
"426"	"Главен механик / производство"	"1222"
"427"	"Главен митнически инспектор"	"2478"
"428"	"Главен научен секретар"	"1151"
"429"	"Главен оператор, реактор в АЕЦ / енергетика"	"1222"
"431"	"Главен пилот / въздушен транспорт"	"1226"
"433"	"Главен проектант / проектантска организация"	"1227"
"434"	"Главен прокурор"	"1113"
"437"	"Главен редактор"	"1229"
"439"	"Главен секретар / Министерски съвет"	"1121"
"440"	"Главен секретар / държавна администрация"	"1122"
"441"	"Главен секретар / общинска администрация"	"1132"
"442"	"Главен секретар / спортна организация"	"1144"
"444"	"Главен специалист  / областна администрация"	"3443"
"445"	"Главен специалист / държавна администрация"	"3442"
"446"	"Главен специалист / общинска администрация"	"3444"
"447"	"Главен счетоводител"	"1231"
"448"	"Главен счетоводител / държавна администрация"	"1122"
"449"	"Главен счетоводител / общинска администрация"	"1132"
"450"	"Главен счетоводител / училище на бюджетна издръжка"	"1153"
"451"	"Главен съветник / Министерски съвет"	"2471"
"452"	"Главен съдебен инспектор"	"1125"
"453"	"Главен технолог"	"1222"
"456"	"Главен финансов ревизор / държавна администрация"	"2477"
"461"	"Главен юрисконсулт"	"1235"
"462"	"Главен юристконсулт / държавна администрация"	"1122"
"463"	"Главен юристконсулт / общинска администрация"	"1132"
"464"	"Главна акушерка"	"3232"
"465"	"Главна медицинска сестра"	"3231"
"466"	"Гладач на преса / текстилно производство"	"8267"
"467"	"Гладач на преса / шивашко производство"	"8267"
"468"	"Гладач, облекло от лицеви меки кожи"	"7447"
"469"	"Гладач, шивач / шивашко производство"	"7442"
"470"	"Глазировач / порцеланово-фаянсово производство"	"7322"
"472"	"Гланцьор, шапки"	"7443"
"474"	"Гледач на дресирани животни"	"6129"
"475"	"Гледач на животни, кланица"	"6121"
"476"	"Гледач на лабораторни животни"	"6129"
"477"	"Гледач на отровни змии"	"6129"
"478"	"Говедовъд"	"6121"
"479"	"Говорител / радио и телевизия"	"3474"
"480"	"Говорител / радиоуредба"	"3474"
"481"	"Говорител, връзки с медиите"	"2415"
"482"	"Горски надзирател"	"5162"
"483"	"Готвач"	"5123"
"484"	"Гоулов майстор"	"8292"
"485"	"Гравьор / полиграфия"	"7343"
"486"	"Гравьор / стъкларско производство"	"7322"
"487"	"Гравьор / текстилно производство"	"7437"
"488"	"Гравьор, бижутерия"	"7312"
"489"	"Гравьор, метал / металообработване"	"8211"
"490"	"Градинар"	"6113"
"491"	"Градинар / оранжерия"	"6113"
"492"	"Градинар / парк"	"6113"
"493"	"Градировач / хранително-вкусова промишленост"	"7416"
"494"	"Гранульор / химични процеси"	"8159"
"495"	"Гранульор на отпадъчни материали / химични процеси"	"8159"
"496"	"Графолог"	"2446"
"497"	"Гресировач, моторни превозни средства / автосервиз"	"7231"
"498"	"Гримьор, сценичен"	"5145"
"499"	"Гримьор-перукер"	"5143"
"500"	"Гробар, погребения и поддържане на гробници"	"9141"
"501"	"Грундировач на тръби / металургия"	"7211"
"502"	"Грундировач-байцвач, дървообработване"	"7424"
"503"	"Грънчар"	"7324"
"504"	"Гумаджия, моторни превозни средства / автосервиз"	"7231"
"505"	"Гъбар"	"6114"
"506"	"Дансинг-партньор"	"5149"
"507"	"Данъчен експерт / държавна администрация"	"2476"
"508"	"Данъчен инспектор / държавна администрация"	"2476"
"509"	"Даракчия / текстилно производство"	"8261"
"510"	"Девиатор / водeн транспорт"	"3143"
"511"	"Дегустатор / хранително-вкусова промишленост"	"7416"
"512"	"Дезинсектор, работник, посадъчен материал"	"6115"
"513"	"Дезинсектор, специалист"	"3222"
"514"	"Дезинфектор, работник"	"5132"
"515"	"Дезинфектор, специалист"	"3222"
"516"	"Декан / висше училище"	"1152"
"517"	"Декоратор / порцеланово- фаянсово производство"	"7322"
"518"	"Декоратор, театър"	"3471"
"519"	"Декоратор-рисувач, текстил и облекло"	"3472"
"520"	"Деловодител"	"4143"
"521"	"Деловодител, книгохранилище"	"4142"
"522"	"Демограф"	"2122"
"523"	"Демонстратор на стоки"	"5221"
"524"	"Демонтажник / строителство"	"7129"
"525"	"Депозитор-комплектовчик на шрифтове / полиграфия"	"7343"
"526"	"Депомайстор / жп транспорт"	"3153"
"527"	"Дератизатор, работник / зърнени силози"	"6115"
"528"	"Дератизатор, специалист"	"3222"
"529"	"Десенатор, текстил и облекло"	"3472"
"530"	"Дестилатор / производство на алкохол"	"8277"
"531"	"Детегледач"	"5132"
"532"	"Детектив / частна практика"	"5163"
"533"	"Детска учителка"	"3321"
"534"	"Дефектоскопист"	"3156"
"535"	"Джазов певец"	"3476"
"536"	"Диагностик, моторни превозни средства / автосервиз"	"7231"
"537"	"Дивечовъд"	"6122"
"538"	"Диетолог - терапевт"	"3223"
"539"	"Дизайнер, керамични изделия"	"3471"
"540"	"Дизайнер, машинен инженер"	"2145"
"541"	"Дизайнер, облекло и аксесоари"	"3472"
"542"	"Дизайнер, производствени системи"	"2149"
"543"	"Дизайнер, промишлени изделия"	"3471"
"544"	"Дизайнер, художник"	"2454"
"545"	"Дизайнер-архитект"	"2141"
"546"	"Диктовач-коригировач на Брайлова азбука"	"7341"
"547"	"Дилър"	"3411"
"548"	"Дипломат / държавна администрация (МВнР)"	"2471"
"549"	"Дипломатически куриер"	"3445"
"550"	"Дипломиран експерт-счетоводител"	"2411"
"551"	"Директор / Агенция \"Митници\""	"1112"
"553"	"Директор / детска градина на бюджетна издръжка"	"1153"
"554"	"Директор / дружество по Търговския Закон"	"1211"
"557"	"Директор / издателство"	"1229"
"560"	"Директор / консултативно-диагностичен център"	"1154"
"561"	"Директор / музей на бюджетна издръжка"	"1157"
"562"	"Директор / областна администрация"	"1124"
"563"	"Директор / общинска администрация"	"1132"
"565"	"Директор / печатна база"	"1229"
"566"	"Директор / регионална митническа дирекция"	"1123"
"567"	"Директор / социално учебно-професионално заведение"	"1153"
"569"	"Директор / училище на бюджетна издръжка"	"1153"
"570"	"Директор / частна болница"	"1229"
"571"	"Директор / частна радиостанция, телевизия"	"1229"
"572"	"Директор / частно училище"	"1229"
"574"	"Директор на филмова и телевизионна продукция"	"2457"
"575"	"Директор, ВиК"	"1228"
"576"	"Директор, Народна библиотека"	"1157"
"577"	"Директор, Национална следствена служба"	"1113"
"578"	"Директор, външнотърговска кантора"	"1224"
"579"	"Директор, експлоатация / транспорт"	"1226"
"580"	"Директор, заведение / обществено хранене"	"1225"
"581"	"Директор, икономическа политика"	"1233"
"582"	"Директор, комплекс за хранене"	"1225"
"583"	"Директор, научен институт"	"1151"
"584"	"Директор, научна лаборатория"	"1151"
"585"	"Директор, областен център за социални грижи"	"1123"
"586"	"Директор, производствена дейност"	"1222"
"587"	"Директор, ремонт на тръбопроводи"	"1228"
"590"	"Директор, търговска дейност"	"1233"
"591"	"Директор, търговски въпроси"	"1224"
"592"	"Директор, финансова дейност"	"1231"
"593"	"Директор, чистота"	"1228"
"594"	"Диригент"	"2455"
"595"	"Дисководещ"	"3474"
"596"	"Диспечер / автомобилен транспорт"	"4137"
"597"	"Диспечер / водeн транспорт"	"3143"
"598"	"Диспечер / въздушeн транспорт"	"3145"
"599"	"Диспечер / газопровoд, нефтопровод"	"3119"
"600"	"Диспечер / далекосъобщения (районен възел - РВД)"	"3134"
"601"	"Диспечер / жп гара"	"3152"
"602"	"Диспечер / жп транспорт"	"3152"
"603"	"Диспечер / производствo"	"3119"
"605"	"Дограмаджия"	"7422"
"606"	"Дозиметрист, лаборант"	"3156"
"607"	"Дозировач / производство на строителна керамика"	"8133"
"608"	"Дозировач на въглища / коксово производство"	"8156"
"609"	"Дозировчик  / металургия"	"8121"
"610"	"Дозировчик / порцеланово-фаянсово производство"	"8131"
"611"	"Дозировчик / хранително-вкусова промишленост"	"8271"
"612"	"Дозировчик, абразиви"	"8136"
"613"	"Докер"	"9333"
"614"	"Документалист"	"2431"
"615"	"Документатор, финансов контрол"	"4142"
"616"	"Домакин / администрация"	"4134"
"617"	"Домакин, гардеробиер"	"5145"
"619"	"Домакин, организатор на почивно дело"	"4134"
"620"	"Домакин, основни средства"	"4134"
"621"	"Домакин, приемчик / производство"	"4133"
"622"	"Домакин, склад / производство"	"4131"
"623"	"Домакин, снабдител / търговия, производство"	"4133"
"624"	"Домакин, шофьор"	"4134"
"625"	"Домакин-касиер"	"4121"
"626"	"Домашна бавачка"	"5134"
"627"	"Домашна прислужница"	"9131"
"628"	"Домоуправител"	"5121"
"629"	"Доставчик на технически зрял тютюн"	"7415"
"630"	"Доцент"	"2311"
"631"	"Дояч, ръчно / животновъдство"	"9213"
"632"	"Дояч-оператор"	"6121"
"633"	"Драматург"	"2451"
"634"	"Дресьор на животни"	"3476"
"635"	"Дробилчик на комбиниран фураж"	"8273"
"637"	"Дървар / дърводобив"	"9214"
"638"	"Дърводелец, дървени конструкции / строителство"	"7123"
"639"	"Дърводелец, крояч"	"7423"
"640"	"Дърводелец, майстор-мебелист"	"7422"
"641"	"Дърводелец, монтаж на дограма"	"7123"
"642"	"Дърводелец, ремонт и поддържане на дограма"	"7422"
"643"	"Дърводелец, ремонт и поддържане на мебели"	"7422"
"644"	"Дърводелец, строителен"	"7123"
"645"	"Дърводелец, театрален"	"7333"
"646"	"Дърводелец-кофражист / строителство"	"7122"
"647"	"Дърводелец-паркетчия / строителство"	"7132"
"648"	"Дърворезач, абрихт / дървообработване"	"8241"
"649"	"Дърворезач, дърва за огрев / сезонни битови услуги"	"9163"
"650"	"Дърворезбар"	"7425"
"651"	"Държавен експерт / Патентно ведомство"	"2479"
"652"	"Държавен експерт / държавна администрация"	"2472"
"653"	"Държавен инспектор / държавна администрация"	"2472"
"655"	"Държавен служител / Министерство на отбраната (МО)"	"2472"
"657"	"Държавен съветник"	"1121"
"658"	"Държавен финансов ревизор / държавна администрация"	"2477"
