"Id"	"name_prof"	"cod"
"1"	"Абонатчик"	"7249"
"2"	"Авиодиспечер"	"3145"
"3"	"Авиометереолог"	"2112"
"4"	"Авиомеханик"	"3146"
"5"	"Авиомоторист"	"3146"
"6"	"Авиотехник"	"3146"
"7"	"Автобояджия"	"7142"
"8"	"Автоклавчик / производство на каучукови изделия"	"8231"
"9"	"Автоклавчик / хранително-вкусова промишленост"	"8271"
"10"	"Автомонтьор / автомобилен транспорт"	"7231"
"11"	"Автор на гегове, диалози, идеи"	"2451"
"12"	"Автотенекеджия / автосервиз"	"7231"
"13"	"Агент, застраховки"	"3412"
"14"	"Агент, недвижими имоти"	"3413"
"15"	"Агент, реклама"	"3429"
"16"	"Агент, трудова борса"	"3423"
"17"	"Агент, туризъм"	"3414"
"18"	"Агент, фондова борса"	"3411"
"19"	"Агломератчик / металургия"	"8121"
"20"	"Агрегатчик"	"8292"
"21"	"Агрегатчик / дърводобив"	"8333"
"22"	"Агроикономист"	"2212"
"23"	"Агроинженер"	"2212"
"24"	"Агроном"	"2212"
"25"	"Агроном / частна практика"	"2212"
"26"	"Агроном, растителна защита"	"2212"
"27"	"Агротехник"	"3212"
"28"	"Адвокат"	"2421"
"29"	"Административен секретар / държавна администрация"	"1122"
"30"	"Административен секретар / съд"	"3434"
"31"	"Администратор / пътническа агенция (бюро)"	"4221"
"32"	"Администратор / хотел"	"4222"
"33"	"Администратор, база данни"	"2132"
"34"	"Администратор, връчване на призовки"	"4222"
"35"	"Администратор, компютърна  мрежа"	"2132"
"36"	"Аеродинамик"	"2111"
"37"	"Аквакултурист, фермер"	"6151"
"38"	"Акомпанятор"	"2455"
"39"	"Акордьор"	"3131"
"40"	"Акратофорчик / хранително-вкусова промишленост"	"7416"
"41"	"Акробат"	"3476"
"42"	"Актьор"	"2457"
"43"	"Акумулаторчик / автосервиз"	"8216"
"44"	"Акушерка"	"3232"
"45"	"Алуминизатор, химическа обработка на повърхности"	"8224"
"46"	"Амалгамчик / стъкларско производство"	"7321"
"47"	"Амбулантен търговец"	"9111"
"48"	"Анализатор на електролити / металургия"	"8122"
"49"	"Анализатор, досиета на лишени от свобода"	"3434"
"50"	"Анализатор, лаборант"	"3156"
"51"	"Анализатор-регулировчик, сушене / дървообработване"	"8142"
"52"	"Аналитик инженер, далекосъобщения"	"2149"
"54"	"Аналитик, ефективност на труда"	"2413"
